train loss,valid loss
1.530052674934268,1.3298053194284438
1.2982443012297153,1.2829841688871384
1.2806387525051832,1.2737035616040229
1.2731033954769373,1.266384706914425
1.2661391291767359,1.2594832239300013
1.2594544254243374,1.2528729852586984
1.2530333567410707,1.2465265279114246
1.2468649614602327,1.2404295852929355
1.2409380413591862,1.2345706067979336
1.235241960734129,1.2289389102309942
1.2297664359211922,1.2235245250761508
1.2245017606765032,1.2183179755061866
1.2194387167692184,1.213310154169798
1.2145685870200396,1.2084924226105214
1.2098829597234726,1.2038566309064627
1.2053739167749882,1.1993950206637383
1.2010339125990868,1.1951001266390084
1.1968557350337505,1.1909648849517107
1.1928325407207012,1.1869825724959373
1.1889578271657228,1.1831468024253846
1.1852253787219524,1.1794514465034007
1.1816292330622673,1.1758906477689743
1.1781637519598007,1.1724588812738657
1.17482353374362,1.1691508243978024
1.1716033667325974,1.1659613922983407
1.1684984043240547,1.1628857702463866
1.1655038800090551,1.159919330716133
1.1626153327524662,1.1570576178878547
1.1598283797502518,1.1542964455187321
1.157139042392373,1.1516317420750857
1.1545432768762112,1.149059620320797
1.152037426829338,1.1465764167308807
1.1496178526431322,1.1441786186099052
1.1472811195999384,1.14186282864213
1.1450239941477776,1.1396257865279913
1.1428433004766703,1.1374644382148982
1.1407360322773457,1.1353757940083742
1.138699259608984,1.1333569917678834
1.1367302816361189,1.1314053345918655
1.1348264198750257,1.1295181774049998
1.132985157892108,1.127693032696843
1.1312040369957685,1.125927493184805
1.1294807400554419,1.124219304651022
1.1278130002319813,1.1225663342624903
1.1261987537145615,1.1209664264470338
1.124635934829712,1.119417546197772
1.1231225728988647,1.117917743012309
1.1216568015515804,1.1164652001857758
1.1202368065714836,1.1150581332296132
1.1188608594238758,1.1136948330551386
1.1175273433327675,1.1123736854940653
1.1162345968186855,1.1110930909365415
1.1149811279028654,1.1098515259325503
1.1137654650956392,1.1086475511193274
1.1125861667096615,1.1074797832518817
1.1114419400691986,1.1063469279557467
1.1103314831852913,1.10524767665565
1.1092534977942705,1.1041807942837476
1.108206881210208,1.1031450942754746
1.1071904320269823,1.1021394612044095
1.1062030419707298,1.1011627964228392
1.1052436865866184,1.1002140573561192
1.1043113246560097,1.0992922226637603
1.1034049727022648,1.0983963297605515
1.1025237403810024,1.0975254721790553
1.1016666945070028,1.096678766593337
1.100832972675562,1.0958553571999072
1.1000217776745558,1.0950544121861459
1.099232280626893,1.0942751441597938
1.0984637439250946,1.093516783490777
1.0977154076099396,1.0927786039412022
1.0969865545630455,1.092059927046299
1.0962765254080296,1.0913600641041994
1.0955846905708313,1.0906783815473318
1.0949104018509388,1.0900142608433963
1.0942530389875174,1.0893670829683542
1.0936120487749577,1.0887362756431103
1.0929868537932634,1.0881212874650956
1.092376932501793,1.0875216114223003
1.0917817540466785,1.0869367378950119
1.0912008546292782,1.0863661675155163
1.0906337443739176,1.0858093929439783
1.0900799464434385,1.0852659997493028
1.0895390398800373,1.0847355060577393
1.0890106111764908,1.0842175301462411
1.0884942281991243,1.0837116416096688
1.0879895016551018,1.0832174438387157
1.087496042251587,1.0827345657050609
1.087013479322195,1.0822626447081567
1.0865414962172508,1.0818013499826193
1.0860797483474016,1.0813503166735172
1.0856278724968433,1.0809092213213445
1.0851855911314487,1.0804777362495661
1.0847525876015425,1.0800555936545133
1.084328580647707,1.0796424877792596
1.0839132871478796,1.0792381238490343
1.0835064351558685,1.0788422774523496
1.083107789978385,1.0784546721726656
1.0827170498669147,1.0780750551968814
1.0823340397328138,1.0777031656056641
1.081958469003439,1.0773388079702855
