mse,min_mse,max_mse
0.00015601441069891124,7.164158009534805e-10,0.005206070120861328
0.00030202157022770005,6.263905336676324e-10,0.005107800054742874
7.506755302680153e-15,3.824672018315379e-22,2.544684754804483e-14
0.00032414210981393716,1.2506221206978317e-10,0.005582450537488702
7.216081424157178e-06,8.741498364759472e-12,0.0002522218524320222
9.964825171710577e-06,8.133057619969092e-16,0.0004765894066482759
7.506755302703262e-15,3.824677167858971e-22,2.544684755084507e-14
0.000669456570760768,1.7094760761983852e-12,0.010758507425206712
2.0486672226856005e-36,4.8293382979426115e-45,3.8093074349811207e-35
2.147289921585545e-36,9.252987242280672e-44,6.470444406544555e-35
