X,Y,Z,q_1_x,q_2_y,q_3_z,q_0_w,Theta1,Theta2,d3,Theta4
-0.287083998865239,0.0458530848209741,0.196445000000000,0.405683651637794,-0.9140135528501887,-5.489507199962407e-17,2.7128039494418585e-17,2.4411,1.5772,0.053555,0.041254
0.379640589775164,0.121163353526759,0.218308000000000,0.9990118169938434,0.04444535416283413,2.2492093875073578e-17,5.695177933804635e-17,0.24203000000000002,0.17856,0.031692000000000005,0.33166999999999996
-0.237805632910709,0.305989158370880,0.249316080000000,0.3738776105012498,0.9274780495331821,5.998552162694822e-17,1.2293764752815522e-17,2.0388,0.51746,0.00068392,0.18104
-0.293000844220900,0.252693905399531,0.230943000000000,-0.38498939034819896,-0.9229209984171569,-6.122412200349348e-17,1.0031657669535218e-18,2.2326,0.53018,0.019057,0.41158
0.132695171275930,0.217519184279856,0.179913000000000,-0.9244883870756108,-0.3812102073165614,-5.850094973880843e-17,1.8084201290409666e-17,0.41991000000000006,1.8418,0.070087,1.4795
-0.361870793721334,-0.0337630424048527,0.193875000000000,-0.3358488935182158,-0.9419158777314407,-3.305853381310573e-17,5.154156379837918e-17,2.9076,0.8919799999999999,0.056125,1.3430000000000002
-0.257174267560022,0.303467114407982,0.191828000000000,-0.8723219078752477,-0.4889319881546799,-5.796265239132693e-17,1.974159022006197e-17,2.1923,0.21763000000000002,0.058172,1.3882
0.128079041919662,0.197979347000748,0.176860000000000,-0.7699682085882376,-0.6380822499987132,-6.102549395801423e-17,5.028771602987346e-18,0.37142,1.9736,0.07314,0.96101
0.105057208352322,0.360169179707620,0.177243000000000,0.8911830128200868,0.453643954727618,5.862685323529849e-17,1.767177230448084e-17,1.0163,0.73258,0.072757,0.80718
-0.188782137398992,0.217672366628108,0.207645000000000,-0.5201668737460325,-0.8540646482891555,-4.5195290721448165e-17,4.1313256386521075e-17,1.7379,1.5972,0.042355000000000004,1.2876
-0.323960335102775,0.180382521279275,0.221276000000000,-0.4203684262626517,-0.9073535067444561,-5.570195585969588e-17,2.5430131145142293e-17,2.3404,0.79562,0.028724,0.86213
-0.0573633050729590,0.241841304055331,0.170484000000000,-0.6525890236268713,-0.7577120602456628,-4.8838428138582806e-17,3.69351782668925e-17,1.1925,1.8856,0.079516,1.3585
0.328707928875173,0.222365294395787,0.232332000000000,0.9700062031175966,-0.24308016355388573,5.1606467996149626e-17,3.2957122411051407e-17,0.49775,0.25916999999999996,0.017668,1.248
-0.387887212779911,-0.0166589882173257,0.190712000000000,0.0005836731719628723,-0.9999998296627995,-5.735932100141066e-17,2.1431466373342746e-17,2.9974,0.50235,0.059287999999999993,0.35699000000000003
0.232398587143156,0.167127108299369,0.191986000000000,0.649700451910155,0.7601903201092081,4.478676831410832e-17,4.175577613496158e-17,0.072413,1.6116,0.058013999999999996,-0.043199
0.298722167802793,0.262552965939208,0.208161000000000,0.9353390624347678,0.3537525099326499,2.9246664230532387e-17,5.3796208863089446e-17,0.63812,0.22141999999999998,0.041839,0.13638
-0.256330581880164,-0.0103713242650404,0.184495000000000,0.41629686495708906,-0.9092287502201518,-4.0877666024302636e-17,4.5589646599422315e-17,2.5813,1.8295,0.065505,0.41047
0.148071330587475,0.342554308253158,0.215922000000000,0.9776866750558035,0.21006847792643138,6.064216961215749e-17,8.480962291212451e-18,0.8816700000000001,0.7618199999999999,0.034078,1.2202
-0.274769312970757,0.0380409493530641,0.174571000000000,-0.14780282465193845,-0.9890168476951787,-2.659219240262601e-17,5.5156638402610846e-17,2.4364,1.6784,0.075429,1.2699
-0.00892061581329659,0.398126801366391,0.223236000000000,0.9663012278335869,0.2574139411284914,6.081904744195353e-17,7.102318277017016e-18,1.5203,0.19459,0.026764,1.1942
-0.143755848992568,0.342537038854454,0.204573000000000,0.49647769994482843,0.8680494763880069,6.047360693378068e-17,9.609491197417199e-18,1.6784,0.7860699999999999,0.045426999999999995,0.36195
0.0368072375639150,0.280225684290165,0.211715000000000,0.5090505186581312,0.8607366434943314,6.100492945668748e-17,5.2723845306680004e-18,0.8822,1.6391,0.038285,0.44787
-0.262293751304740,-0.109596514936909,0.176137000000000,0.3155570806860643,-0.9489065964724288,-2.5204552405187765e-17,5.580439046086596e-17,2.9825,1.6267,0.073863,0.82552
0.318582131373915,0.193320295774497,0.236868000000000,0.9609282130372512,0.27679770481171867,4.1766106131348106e-17,4.4777135183926274e-17,0.26154,0.76954,0.013132,0.47016
0.202012177562655,0.148751918765874,0.192476000000000,0.7207255083057242,0.6932205577429562,5.5376086933341344e-17,2.6132134482389028e-17,0.026425999999999998,1.8694,0.057524,0.36393000000000003
-0.216561121981063,0.237076806173642,0.186315000000000,-0.20070383958447144,-0.9796519630848757,-5.964789760043813e-17,1.3839355783499829e-17,1.8405,1.327,0.063685,0.43006000000000005
-0.200907230727623,0.343154048323447,0.246523900000000,0.6447615769509962,0.7643837445208163,6.00116320810552e-17,1.2165667742574304e-17,2.0164,0.22446999999999998,0.0034761,0.5007
-0.145893426441332,0.369852061765967,0.221267000000000,0.6037654904514537,0.7971619863866538,5.628249740023312e-17,2.411804185765079e-17,1.8615,0.22703,0.028732999999999998,0.24336999999999998
-0.332300302819168,0.218722020259592,0.209634000000000,-0.6608579394862254,-0.7505110151210443,-5.893622230102744e-17,1.6610874677105916e-17,2.4787,0.21565,0.040366,0.9966799999999999
0.347668434535695,0.182554040803623,0.199004000000000,0.9676519436654318,0.2522889532272709,2.808582400628385e-17,5.441126672429798e-17,0.33566999999999997,0.39588,0.050996,0.22146
